matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
15,0,76561199049186046,AC,Ez2dIe,16,3,1455,2,0,0,1,4,8,2,1,1,2,0,631,1455,197,51,0,0,0,0,1,1,65000,0,5700,99,7,57800,0
15,0,76561199036860488,AC,Cherryand,14,10,1483,4,0,0,1,3,3,1,1,1,1,0,969,1483,232,48,0,0,0,0,4,2,58450,0,4200,375,9,73600,0
15,0,76561199069561367,AC,Loong,14,7,1720,6,0,0,1,2,7,186,4,5,5,1,804,1720,182,56,0,0,1,0,5,4,64000,0,4200,374,6,57400,1
15,0,76561199386518510,AC,Tino,12,6,1268,3,0,0,1,1,4,97,3,3,4,2,782,1268,211,38,0,0,0,0,2,0,63750,0,3900,254,6,63900,2
15,0,76561199072829349,AC,Huoreee,9,5,689,1,0,0,1,0,2,111,2,3,0,0,632,689,110,19,0,0,0,0,1,0,62250,0,2700,250,4,55300,0
15,0,76561199597181800,BLE,tvtml907,11,13,994,1,0,0,0,2,0,0,0,0,0,0,1395,994,179,27,0,0,1,0,5,4,45600,0,3300,687,7,47000,0
15,0,76561198800592262,BLE,Alina,6,14,1099,7,0,0,0,2,0,0,0,0,0,0,1400,1099,139,44,0,0,0,0,3,1,41300,0,1800,606,1,45250,0
15,0,76561198814454796,BLE,5un91e,6,14,823,1,0,0,0,1,1,0,0,0,5,2,1298,823,119,29,0,0,0,0,2,1,46050,0,1800,781,3,41650,4
15,0,76561199030318238,BLE,Lucia,5,11,657,0,0,0,0,0,1,0,0,0,0,0,1233,657,114,24,0,0,1,0,1,0,38550,0,1800,534,3,49500,0
15,0,76561199197128611,BLE,kirito,3,14,245,0,0,0,0,0,1,0,0,0,6,3,1289,245,76,11,0,0,1,0,2,0,41350,0,900,705,0,40250,3
15,0,76561198982005015,Spectator,Crad1es,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,76561199814880532,Spectator,SAL observer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
